G,Date,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
45,3/1/2023,OKC,W (+6),0,24:38:00,5,5,1,1,1,1,8,9,0.889,0,0,0,4,1,0,1,1,19,19.5,-3
46,3/3/2023,MIN,L (-8),0,21:18,2,9,0.222,0,2,0,2,2,1,1,2,3,3,0,0,2,0,6,1.9,-10
47,3/5/2023,GSW,W (+8),0,27:39:00,5,9,0.556,3,5,0.6,3,4,0.75,0,2,2,8,1,1,2,2,16,16.4,11
48,3/7/2023,MEM,W (+9),0,32:42:00,6,13,0.462,1,3,0.333,4,6,0.667,0,4,4,7,1,0,0,3,17,15.4,11
49,3/10/2023,TOR,W (+10),0,32:28:00,6,10,0.6,0,2,0,6,6,1,0,2,2,5,0,1,1,3,18,16,26
50,3/12/2023,NYK,L (-4),0,25:15:00,4,6,0.667,1,2,0.5,4,5,0.8,0,1,1,4,0,0,3,1,13,9.7,-3
51,3/14/2023,NOP,W (+15),0,28:41:00,4,5,0.8,3,4,0.75,3,5,0.6,1,3,4,5,1,0,4,1,14,13,-2
52,3/15/2023,HOU,L (-4),0,26:47:00,6,14,0.429,1,7,0.143,11,13,0.846,0,4,4,7,1,0,1,1,24,21.5,1
53,3/17/2023,DAL,L (-1),0,32:21:00,5,8,0.625,0,1,0,6,9,0.667,0,5,5,2,1,1,1,1,16,14.4,10
54,3/19/2023,ORL,W (+6),0,30:27:00,9,14,0.643,1,4,0.25,16,18,0.889,1,5,6,6,0,0,3,3,35,30.2,25
55,3/22/2023,PHO,W (+11),1,38:48:00,6,10,0.6,1,1,1,12,13,0.923,0,4,4,11,1,0,2,2,25,27.1,18
56,3/24/2023,OKC,W (+5),1,38:14:00,3,12,0.25,1,5,0.2,4,4,1,3,3,6,9,0,0,3,3,11,8.9,4
57,3/26/2023,CHI,L (-10),1,37:19:00,6,10,0.6,1,3,0.333,0,1,0,0,3,3,7,0,0,5,2,13,8,-11
58,3/29/2023,CHI,W (+11),1,28:52:00,7,8,0.875,1,2,0.5,4,4,1,0,2,2,5,1,0,1,0,19,20.3,28
59,3/31/2023,MIN,W (+12),1,30:29:00,4,9,0.444,2,3,0.667,5,6,0.833,2,4,6,2,0,0,2,1,15,11.5,
60,4/2/2023,HOU,W (+25),1,32:44:00,4,7,0.571,1,2,0.5,9,10,0.9,0,1,1,8,0,0,2,2,18,17.4,15
61,4/4/2023,UTA,W (+2),1,41:32:00,8,13,0.615,4,7,0.571,8,8,1,0,3,3,6,0,0,2,1,28,24.8,10
62,4/5/2023,LAC,L (-7),1,30:41:00,6,11,0.545,3,6,0.5,5,5,1,0,4,4,2,0,0,2,5,20,13.3,9
63,4/7/2023,PHO,W (+14),1,31:15:00,9,13,0.692,1,4,0.25,3,5,0.6,0,0,0,5,1,0,2,1,22,17.8,18
64,4/9/2023,UTA,W (+11),1,33:59:00,3,5,0.6,3,4,0.75,3,3,1,0,4,4,6,0,0,0,2,12,14.3,20
